SalePrice,LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,MiscVal,MSZoning,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,Fence,MiscFeature,SaleType,SaleCondition,MSSubClass,OverallQual,OverallCond,House_Age,Remod_Age,Garage_Age
208500,65.0,8450,196.0,706,150,856,856,854,1710,1,2,1,3,8,0,2,548,0,61,0,RL,None,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,None,None,WD,Normal,60,7,5,18,0,18.0
181500,80.0,9600,0.0,978,284,1262,1262,0,1262,0,2,0,3,6,1,2,460,298,0,0,RL,None,Reg,Lvl,FR2,Gtl,Veenker,Feedr,1Fam,1Story,Gable,MetalSd,MetalSd,None,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,None,None,WD,Normal,20,6,8,45,0,45.0
223500,68.0,11250,162.0,486,434,920,920,866,1786,1,2,1,3,6,1,2,608,0,42,0,RL,None,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,None,None,WD,Normal,60,7,5,20,19,20.0
250000,84.0,14260,350.0,655,490,1145,1145,1053,2198,1,2,1,4,9,1,3,836,192,84,0,RL,None,IR1,Lvl,FR2,Gtl,NoRidge,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,None,None,WD,Normal,60,8,5,21,0,21.0
307000,75.0,10084,186.0,1369,317,1686,1694,0,1694,1,2,0,3,7,1,2,636,255,57,0,RL,None,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,None,None,WD,Normal,20,8,5,17,16,17.0
118000,50.0,7420,0.0,851,140,991,1077,0,1077,1,1,0,2,5,2,1,205,0,4,0,RL,None,Reg,Lvl,Corner,Gtl,BrkSide,Artery,2fmCon,1.5Unf,Gable,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,Gd,TA,Y,None,None,WD,Normal,190,5,6,82,71,82.0
129500,70.0,11200,0.0,906,134,1040,1040,0,1040,1,1,0,3,5,0,1,384,0,0,0,RL,None,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,Hip,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,None,None,WD,Normal,20,5,5,56,0,56.0
279500,91.0,10652,306.0,0,1494,1494,1494,0,1494,0,2,0,3,7,1,3,840,160,33,0,RL,None,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,None,None,New,Partial,20,7,5,15,14,15.0
157000,0.0,10920,212.0,733,520,1253,1253,0,1253,1,1,1,2,5,1,1,352,0,213,0,RL,None,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,Hip,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Fa,Attchd,RFn,TA,TA,Y,GdWo,None,WD,Normal,20,6,5,61,0,61.0
132000,51.0,6120,0.0,0,832,832,854,0,854,0,1,0,2,5,0,2,576,48,112,0,RM,None,Reg,Lvl,Corner,Gtl,BrkSide,Norm,1Fam,1.5Unf,Gable,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseA,TA,Typ,None,Detchd,Unf,TA,TA,Y,GdPrv,None,WD,Normal,45,7,8,92,20,30.0
